"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","137.500","129.500","139.500","128.000","54.62M","9.03%"
"May 10, 2020","126.110","135.880","135.880","125.000","69.64M","-7.24%"
"May 03, 2020","135.950","140.000","140.000","134.000","12.22M","-2.89%"
"Apr 26, 2020","140.000","132.900","140.020","132.690","14.20M","6.21%"
"Apr 19, 2020","131.820","133.307","133.307","128.106","11.08M","-4.48%"
"Apr 12, 2020","138.000","133.920","141.010","133.920","20.70M","4.54%"
"Apr 05, 2020","132.010","135.940","137.000","132.000","13.39M","-0.31%"
"Mar 29, 2020","132.420","118.750","135.000","118.750","27.17M","14.16%"
"Mar 22, 2020","116.000","119.980","121.000","105.000","27.43M","-3.33%"
"Mar 15, 2020","119.990","101.650","125.000","101.650","20.52M","5.25%"
"Mar 08, 2020","114.000","115.000","122.500","112.000","13.57M","-8.06%"
"Mar 01, 2020","124.000","123.000","125.000","122.000","10.65M","1.40%"
"Feb 23, 2020","122.290","134.000","134.000","120.530","3.86M","-9.47%"
"Feb 16, 2020","135.080","140.000","142.000","134.000","5.26M","-3.53%"
"Feb 09, 2020","140.030","136.490","142.000","136.490","755.30K","0.61%"
"Feb 02, 2020","139.180","136.500","140.000","134.520","1.94M","0.20%"
"Jan 26, 2020","138.900","140.500","142.000","138.900","1.39M","-2.18%"
"Jan 19, 2020","141.990","148.000","148.500","140.930","8.27M","-4.08%"
"Jan 12, 2020","148.030","149.000","149.900","146.000","16.62M","0.74%"
"Jan 05, 2020","146.940","151.070","151.000","137.700","2.87M","-2.73%"
"Dec 29, 2019","151.070","144.000","151.090","145.850","2.60M","4.91%"
"Dec 22, 2019","144.000","150.620","151.000","143.990","12.86M","-4.40%"
"Dec 15, 2019","150.620","150.800","152.000","145.360","11.07M","-0.12%"
"Dec 08, 2019","150.800","148.000","151.000","148.000","1.87M","1.89%"
"Dec 01, 2019","148.000","145.000","151.090","141.200","18.56M","2.07%"
"Nov 24, 2019","145.000","148.660","150.000","144.990","23.84M","-2.46%"
"Nov 17, 2019","148.660","146.840","154.800","146.840","36.46M","2.43%"
"Nov 10, 2019","145.130","131.620","151.000","119.000","19.90M","10.26%"
"Nov 03, 2019","131.620","143.600","144.100","125.000","13.88M","-8.34%"
"Oct 27, 2019","143.600","160.000","162.000","143.000","3.36M","-10.25%"
"Oct 20, 2019","160.000","172.400","172.400","156.000","18.58M","-8.57%"
"Oct 13, 2019","174.990","175.000","179.990","173.130","14.04M","-0.01%"
"Oct 06, 2019","175.000","173.870","176.000","173.000","15.12M","0.65%"
"Sep 29, 2019","173.870","173.850","174.000","169.000","1.79M","0.01%"
"Sep 22, 2019","173.850","169.460","174.000","168.000","7.32M","2.59%"
"Sep 15, 2019","169.460","170.000","172.000","165.500","735.64K","-0.32%"
"Sep 08, 2019","170.000","161.000","170.000","161.000","25.04M","5.59%"
