"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2018","25,979.23","26,056.06","26,230.22","25,514.34","-","-0.29%"
"Oct 21, 2018","26,056.06","26,084.09","26,239.05","25,816.42","-","-0.11%"
"Oct 14, 2018","26,084.09","26,251.46","26,794.17","26,026.21","-","-0.64%"
"Oct 07, 2018","26,251.46","26,792.58","27,157.28","26,183.04","-","-2.02%"
"Sep 30, 2018","26,792.58","26,885.86","27,242.52","26,777.75","-","-0.35%"
"Sep 23, 2018","26,885.86","27,607.13","27,627.45","26,853.02","-","-2.61%"
"Sep 16, 2018","27,607.13","27,104.65","27,795.01","27,104.65","-","1.85%"
"Sep 09, 2018","27,104.65","26,452.09","27,205.29","26,283.16","-","2.47%"
"Sep 02, 2018","26,452.09","26,589.85","26,614.52","26,023.21","-","-0.52%"
"Aug 26, 2018","26,589.85","26,561.36","26,778.68","26,417.39","-","0.11%"
"Aug 19, 2018","26,561.36","26,582.79","26,696.14","26,463.20","-","0.22%"
"Aug 12, 2018","26,502.46","26,663.91","26,708.71","26,450.47","-","-0.61%"
"Aug 05, 2018","26,663.91","27,256.71","27,264.38","26,485.16","-","-2.17%"
"Jul 29, 2018","27,256.71","27,088.99","27,458.28","26,992.33","-","0.62%"
"Jul 22, 2018","27,088.99","27,337.74","27,555.11","27,042.03","-","-0.91%"
"Jul 15, 2018","27,337.74","26,849.63","27,352.37","26,784.81","-","1.82%"
"Jul 08, 2018","26,849.63","26,798.14","27,011.71","26,686.86","-","0.19%"
"Jul 01, 2018","26,798.14","26,843.21","26,958.89","26,578.91","-","-0.17%"
"Jun 24, 2018","26,843.21","27,231.05","27,243.92","26,596.91","-","-1.42%"
"Jun 17, 2018","27,231.05","27,658.87","27,660.92","27,151.63","-","-1.54%"
"Jun 10, 2018","27,658.37","27,959.05","28,087.37","27,626.58","-","-1.00%"
"Jun 03, 2018","27,937.27","27,705.23","28,130.51","27,605.04","-","0.84%"
"May 27, 2018","27,705.23","28,216.97","28,323.06","27,537.18","-","-1.77%"
"May 20, 2018","28,205.50","28,727.08","28,757.85","28,102.31","-","-1.65%"
"May 13, 2018","28,679.66","28,840.79","28,977.29","28,634.74","-","-0.40%"
"May 06, 2018","28,796.25","28,420.96","28,927.62","28,340.52","-","1.59%"
"Apr 29, 2018","28,344.67","28,589.33","28,781.48","28,319.85","-","-0.83%"
"Apr 22, 2018","28,582.25","28,613.06","28,716.76","28,422.96","-","0.02%"
"Apr 15, 2018","28,575.11","28,167.40","28,601.76","28,076.98","-","1.45%"
"Apr 08, 2018","28,166.50","27,973.86","28,211.06","27,891.29","-","0.69%"
"Apr 01, 2018","27,973.86","27,736.23","28,129.95","27,545.64","-","0.86%"
"Mar 25, 2018","27,736.23","27,531.20","27,745.64","27,303.93","-","0.75%"
"Mar 18, 2018","27,530.52","28,081.84","28,090.03","27,460.54","-","-1.79%"
"Mar 11, 2018","28,033.02","28,197.82","28,297.03","27,941.86","-","-0.58%"
"Mar 04, 2018","28,197.82","27,799.46","28,225.35","27,652.70","-","1.43%"
"Feb 25, 2018","27,799.46","28,783.39","28,801.20","27,563.40","-","-3.42%"
"Feb 18, 2018","28,783.39","28,302.23","28,829.32","28,144.47","-","1.73%"
"Feb 11, 2018","28,293.23","28,011.44","28,416.93","27,756.38","-","1.01%"
"Feb 04, 2018","28,011.21","29,293.28","29,293.28","27,911.39","-","-4.38%"
"Jan 28, 2018","29,293.29","29,366.12","30,712.44","29,208.55","-","-0.41%"
"Jan 21, 2018","29,413.50","29,429.74","29,462.26","29,102.17","-","0.04%"
"Jan 14, 2018","29,402.17","28,832.77","29,485.31","28,806.49","-","1.99%"
"Jan 07, 2018","28,829.85","28,636.41","28,863.85","28,519.08","-","0.68%"
"Dec 31, 2017","28,636.41","27,986.25","28,668.96","27,955.63","-","2.34%"
"Dec 24, 2017","27,980.78","27,851.72","28,024.98","27,581.97","-","0.47%"
"Dec 17, 2017","27,851.01","26,249.66","28,273.58","26,249.66","-","6.16%"
"Dec 10, 2017","26,234.79","24,631.38","26,452.87","24,624.69","-","6.58%"
"Dec 03, 2017","24,616.07","25,274.71","25,451.82","24,420.66","-","-2.61%"
"Nov 26, 2017","25,274.71","25,366.80","25,564.61","25,017.36","-","-0.36%"
"Nov 19, 2017","25,366.80","27,140.89","27,140.89","25,292.38","-","-6.53%"
"Nov 12, 2017","27,139.76","27,175.04","27,208.84","26,533.31","-","-0.13%"
"Nov 05, 2017","27,175.04","27,580.73","27,855.95","27,137.74","-","-1.47%"
"Oct 29, 2017","27,580.52","27,664.14","28,123.34","27,542.49","-","-0.28%"
"Oct 22, 2017","27,657.71","27,676.19","27,902.65","27,544.71","-","-0.05%"
"Oct 15, 2017","27,671.88","27,346.08","27,700.95","27,314.79","-","1.20%"
"Oct 08, 2017","27,343.11","27,454.62","27,472.95","27,196.01","-","-0.33%"
"Oct 01, 2017","27,432.86","26,703.45","27,459.74","26,690.00","-","2.81%"
"Sep 24, 2017","26,682.39","26,411.23","26,725.16","26,222.31","-","1.04%"
"Sep 17, 2017","26,406.84","26,087.36","26,448.23","26,032.27","-","1.67%"
"Sep 10, 2017","25,973.23","25,527.34","26,027.97","25,506.20","-","1.95%"
"Sep 03, 2017","25,475.58","25,837.40","25,842.75","25,401.53","-","-1.40%"
"Aug 27, 2017","25,838.50","25,859.59","25,925.49","25,643.95","-","-0.01%"
"Aug 20, 2017","25,842.31","25,576.72","25,858.51","25,465.65","-","1.17%"
"Aug 13, 2017","25,544.22","25,128.96","25,583.72","25,112.62","-","1.68%"
"Aug 06, 2017","25,122.29","25,450.95","25,644.77","25,060.11","-","-1.41%"
"Jul 30, 2017","25,480.89","25,376.52","25,485.55","25,202.13","-","0.50%"
"Jul 23, 2017","25,354.16","25,022.08","25,356.69","24,926.75","-","1.30%"
"Jul 16, 2017","25,028.84","24,968.63","25,187.71","24,917.80","-","0.30%"
"Jul 09, 2017","24,955.16","24,295.23","24,988.74","24,295.23","-","2.75%"
"Jul 02, 2017","24,286.47","23,798.85","24,328.60","23,761.65","-","2.10%"
